timestamp,epochs,loss,acc,val_loss,val_acc
2019-03-11 21:57:04.872655,1,1.7098537236452103,0.35535714285714287,1.1610313483646937,0.5285714285714286
2019-03-11 21:57:09.575398,2,0.9083435301269803,0.6428571428571429,0.6849151977470943,0.7142857142857143
2019-03-11 21:57:14.263373,3,0.4624653181859425,0.8357142857142857,0.27006937137671877,0.8857142857142857
2019-03-11 21:57:18.926107,4,0.2868366986513138,0.9035714285714286,0.44567541990961346,0.8285714285714286
2019-03-11 21:57:23.530161,5,0.13132099036426684,0.9517857142857142,0.10509824672979969,0.95
2019-03-11 21:57:28.166286,6,0.05750521234170135,0.9839285714285714,0.04767526925674507,0.9857142857142858
2019-03-11 21:57:32.856914,7,0.08981351245061628,0.9732142857142857,0.04160876292735338,0.9857142857142858
2019-03-11 21:57:37.571284,8,0.06649050077040945,0.9803571428571428,0.016583395124013935,1.0
2019-03-11 21:57:42.320558,9,0.034560147140707285,0.9910714285714286,0.04965168410646064,0.9785714285714285
2019-03-11 21:57:47.020787,10,0.012153146935036472,1.0,0.006822749523312918,1.0
